Rating,Name,Genres,Year/Country,URL
8.7,Форрест Гамп,"комедия, мелодрама, драма","1994, США",https://www.kinoafisha.info/movies/4162346/
8.7,1+1,"комедия, драма, биография","2011, Франция",https://www.kinoafisha.info/movies/8133315/
8.7,Король Лев,"мюзикл, приключения, драма, семейный, комедия, анимация","1994, США",https://www.kinoafisha.info/movies/4620118/
8.6,Назад в будущее,"приключения, фантастика, комедия, боевик","1985, США",https://www.kinoafisha.info/movies/5412787/
8.5,Кот в сапогах 2: Последнее желание,"анимация, комедия, приключения","2022, США",https://www.kinoafisha.info/movies/8168525/
8.5,ВОЛЕЙБОЛ!! Битва на мусорной свалке,"анимация, комедия, драма, аниме","2024, Япония",https://www.kinoafisha.info/movies/8375798/
8.5,Джентльмены удачи,"криминал, комедия","1971, СССР",https://www.kinoafisha.info/movies/5435753/
8.5,Бриллиантовая рука,"комедия, приключения, криминал","1968, СССР",https://www.kinoafisha.info/movies/5425175/
8.4,Великий диктатор,"драма, военный, комедия","1940, США",https://www.kinoafisha.info/movies/7205349/
8.4,Иван Васильевич меняет профессию,"комедия, фантастика","1973, СССР",https://www.kinoafisha.info/movies/1624187/
8.4,Огни большого города,"драма, комедия","1931, США",https://www.kinoafisha.info/movies/3761153/
8.4,Ханума,"комедия, мюзикл","1978, СССР",https://www.kinoafisha.info/movies/8363322/
8.3,"Поймай меня, если сможешь",комедия,"2002, США",https://www.kinoafisha.info/movies/5239/
8.3,Spy x Family: Код «Белый»,"боевик, анимация, комедия, аниме","2023, Япония",https://www.kinoafisha.info/movies/8370673/
8.3,Наконец в безопасности,"мелодрама, комедия, семейный","1923, США",https://www.kinoafisha.info/movies/4299900/
8.3,Новые времена,"драма, комедия","1936, США",https://www.kinoafisha.info/movies/5929243/
8.3,Душа,"анимация, семейный, приключения, комедия","2020, США",https://www.kinoafisha.info/movies/8356310/
8.3,Тонкий человек,"комедия, криминал, мистика","1934, США",https://www.kinoafisha.info/movies/8362658/
8.3,Корпорация Монстров,"семейный, сказка, комедия, анимация","2001, США",https://www.kinoafisha.info/movies/75889/
8.3,12 стульев,"комедия, детектив","1976, СССР",https://www.kinoafisha.info/movies/8328344/
8.3,Шрэк,"анимация, семейный, комедия","2001, США",https://www.kinoafisha.info/movies/5625/
8.3,Вечное сияние чистого разума,"драма, комедия, мелодрама","2004, США",https://www.kinoafisha.info/movies/5565/
8.3,Любовь и голуби,"комедия, мелодрама","1984, СССР",https://www.kinoafisha.info/movies/5920923/
8.3,Шведская спичка,комедия,"1954, СССР",https://www.kinoafisha.info/movies/5491360/
8.3,День сурка,"комедия, мелодрама, фантастика","1993, США",https://www.kinoafisha.info/movies/5412773/
8.2,Служебный роман,"мелодрама, комедия","1977, СССР",https://www.kinoafisha.info/movies/5617111/
8.2,Цирк,комедия,"1928, США",https://www.kinoafisha.info/movies/8326355/
8.2,Мой слуга Годфри,"комедия, драма, мелодрама","1936, США",https://www.kinoafisha.info/movies/8362333/
8.2,Зверополис,"анимация, боевик, приключения, семейный, комедия","2016, США",https://www.kinoafisha.info/movies/8170146/
8.2,Обыкновенное чудо,"мюзикл, комедия, мелодрама, сказка","1978, СССР",https://www.kinoafisha.info/movies/8167280/
8.2,Рататуй,"комедия, семейный, анимация","2007, США",https://www.kinoafisha.info/movies/1102801/
8.2,Достучаться до небес,"боевик, драма, приключения, комедия","1997, Германия / Нидерланды / Бельгия",https://www.kinoafisha.info/movies/7275899/
8.2,Мимино,комедия,"1978, СССР",https://www.kinoafisha.info/movies/7687770/
8.2,Постучись в мою Тверь,"комедия, драма, мелодрама","2024, Россия",https://www.kinoafisha.info/movies/8373513/
8.2,Достать ножи,"детектив, драма, криминал, комедия","2019, США",https://www.kinoafisha.info/movies/8355336/
8.2,В погоне за счастьем,"комедия, драма","2006, США",https://www.kinoafisha.info/movies/1146310/
8.1,Аладдин,"сказка, мюзикл, семейный, анимация, комедия, приключения","1992, США",https://www.kinoafisha.info/movies/4479302/
8.1,Ночь в опере,комедия,"1935, США",https://www.kinoafisha.info/movies/8090026/
8.1,Рапунцель: Запутанная История,"семейный, мюзикл, анимация, комедия","2010, США",https://www.kinoafisha.info/movies/8106336/
8.1,Безымянная звезда,"драма, комедия","1978, СССР",https://www.kinoafisha.info/movies/8365451/
8.1,С собой не унесешь,"мелодрама, комедия","1938, США",https://www.kinoafisha.info/movies/7765686/
8.1,Свадьба,"комедия, мелодрама","1944, СССР",https://www.kinoafisha.info/movies/8327291/
8.1,Филадельфийская история,"комедия, мелодрама","1940, США",https://www.kinoafisha.info/movies/6200731/
8.1,"Добро пожаловать, или Посторонним вход воспрещен","семейный, комедия","1964, СССР",https://www.kinoafisha.info/movies/1853092/
8.1,Дэдпул и Росомаха,"фантастика, боевик, комедия","2024, США",https://www.kinoafisha.info/movies/8362150/
8.1,Магазинчик за углом,"комедия, драма, мелодрама","1940, США",https://www.kinoafisha.info/movies/8322141/
8.1,Шаг к мечте: Раз и навсегда,"комедия, драма","2023, Китай",https://www.kinoafisha.info/movies/8372521/
8.1,Как приручить дракона 3,"анимация, семейный, комедия, приключения","2018, США",https://www.kinoafisha.info/movies/8168520/
8.1,Миллионер из трущоб,"мелодрама, драма, комедия","2008, Великобритания",https://www.kinoafisha.info/movies/5780683/
8.1,Я шагаю по Москве,"мелодрама, комедия","1963, СССР",https://www.kinoafisha.info/movies/2106407/
8.1,Я купил папу,"комедия, семейный","1963, СССР",https://www.kinoafisha.info/movies/8358116/
8.1,Шан-Чи и легенда десяти колец,"фэнтези, боевик, комедия","2021, США",https://www.kinoafisha.info/movies/8356369/
8.1,История игрушек: Большой побег,"драма, приключения, комедия, анимация, семейный","2010, США",https://www.kinoafisha.info/movies/8090393/
8.1,Малыш,"драма, комедия, семейный","1921, США",https://www.kinoafisha.info/movies/5554225/
8.1,Хеллбой: Герой из пекла,комедия,"2004, США",https://www.kinoafisha.info/movies/5652/
8.1,Золотая лихорадка,"приключения, мелодрама, комедия, семейный","1925, США",https://www.kinoafisha.info/movies/3549970/
8.0,Пипец,"боевик, драма, комедия","2009, США",https://www.kinoafisha.info/movies/7624001/
8.0,Ледниковый период,"комедия, приключения, анимация, семейный","2002, США",https://www.kinoafisha.info/movies/4621953/
8.0,Девчата,"мелодрама, комедия","1961, СССР",https://www.kinoafisha.info/movies/3623363/
8.0,Кунг-Фу Панда,"комедия, анимация","2008, США",https://www.kinoafisha.info/movies/2108341/
8.0,Элементарно,"приключения, анимация, комедия","2023, США",https://www.kinoafisha.info/movies/8367724/
8.0,Сладкая жизнь,"драма, комедия","1959, Италия / Франция",https://www.kinoafisha.info/movies/944489/
8.0,Назад в будущее 3,"приключения, фантастика, вестерн, комедия, боевик","1990, США",https://www.kinoafisha.info/movies/5412783/
8.0,Воспитание крошки,"комедия, мелодрама","1938, США",https://www.kinoafisha.info/movies/8117651/
8.0,Убить Билла,"драма, комедия, криминал, триллер, боевик","2003, США",https://www.kinoafisha.info/movies/5450/
8.0,Один дома,"криминал, комедия, семейный","1990, США",https://www.kinoafisha.info/movies/5412785/
8.0,Утиный суп,"мюзикл, комедия","1933, США",https://www.kinoafisha.info/movies/5881211/
8.0,Как приручить дракона 2,"комедия, фэнтези, анимация, боевик, приключения","2014, США",https://www.kinoafisha.info/movies/8150290/
8.0,Крупная рыба,"приключения, сказка, комедия, драма","2003, США",https://www.kinoafisha.info/movies/5515/
8.0,Охотники за привидениями,"комедия, фантастика, боевик","1984, США",https://www.kinoafisha.info/movies/3729109/
8.0,Ведьмина служба доставки,"приключения, комедия, сказка, семейный, анимация, аниме","1989, Япония",https://www.kinoafisha.info/movies/4018598/
7.9,Шрэк 2,"сказка, комедия, анимация, приключения, семейный","2004, США",https://www.kinoafisha.info/movies/5639/
7.9,Максим Перепелица,комедия,"1955, СССР",https://www.kinoafisha.info/movies/8124021/
7.9,В поисках Немо,"семейный, комедия, анимация, приключения","2003, США",https://www.kinoafisha.info/movies/5457/
7.9,Город героев,"комедия, боевик, анимация, семейный","2014, США",https://www.kinoafisha.info/movies/8157679/
7.9,Пираты Карибского моря: Сундук мертвеца,"боевик, сказка, комедия, приключения","2006, США",https://www.kinoafisha.info/movies/533610/
7.9,Амели,"комедия, мелодрама","2001, Франция / Германия",https://www.kinoafisha.info/movies/1795995/
7.9,Сказки Гофмана,"драма, комедия","2022, Россия",https://www.kinoafisha.info/movies/8371946/
7.9,Пигмалион,"драма, мелодрама, комедия","1938, Великобритания",https://www.kinoafisha.info/movies/8329586/
7.9,Маска,"фэнтези, криминал, комедия","1994, США",https://www.kinoafisha.info/movies/3659042/
7.9,День получки,"короткометражный, комедия","1922, США",https://www.kinoafisha.info/movies/4287278/
7.9,Девочка и крокодил,комедия,"1956, СССР",https://www.kinoafisha.info/movies/8329217/
7.9,Веселый развод,"комедия, мюзикл, мелодрама","1934, США",https://www.kinoafisha.info/movies/8370458/
7.9,Мальчишник в Вегасе,комедия,"2009, США",https://www.kinoafisha.info/movies/7556324/
7.9,Привидение,"драма, фэнтези, триллер, мистика, комедия","1990, США",https://www.kinoafisha.info/movies/3677162/
7.9,Дэдпул 2,"боевик, приключения, комедия, фантастика","2018, США",https://www.kinoafisha.info/movies/8326405/
7.9,Круэлла,комедия,"2021, США",https://www.kinoafisha.info/movies/8326542/
7.9,Эдвард руки-ножницы,"сказка, драма, мелодрама, комедия","1990, США",https://www.kinoafisha.info/movies/3338974/
7.9,Его девушка Пятница,"комедия, мелодрама, драма","1940, США",https://www.kinoafisha.info/movies/7401688/
7.8,Джуманджи,"семейный, триллер, комедия, приключения, фантастика, драма","1995, США",https://www.kinoafisha.info/movies/4273977/
7.8,Три плюс два,комедия,"1963, СССР",https://www.kinoafisha.info/movies/8320871/
7.8,Убойные каникулы,комедия,"2009, Канада",https://www.kinoafisha.info/movies/8097103/
7.8,Пираты Карибского моря: На краю света,"сказка, боевик, комедия, приключения","2007, США",https://www.kinoafisha.info/movies/911976/
7.8,Пипец 2,"криминал, триллер, боевик, комедия","2013, США / Великобритания",https://www.kinoafisha.info/movies/8144054/
7.8,Добро пожаловать в Зомбилэнд,"комедия, ужасы","2009, США",https://www.kinoafisha.info/movies/7745135/
7.8,"Отель ""Гранд Будапешт""","комедия, драма","2014, США / Германия",https://www.kinoafisha.info/movies/8159309/
7.8,О чем говорят мужчины,комедия,"2010, Россия",https://www.kinoafisha.info/movies/7795867/
7.8,Энканто,"приключения, анимация, комедия","2021, США / Колумбия",https://www.kinoafisha.info/movies/8364896/
7.8,Суперпитомцы,"комедия, анимация","2022, США",https://www.kinoafisha.info/movies/8355778/
7.8,Братья Супер Марио в кино,"приключения, анимация, комедия","2023, США / Япония",https://www.kinoafisha.info/movies/8366424/
7.8,Плохие парни до конца,"боевик, приключения, комедия","2024, США",https://www.kinoafisha.info/movies/8369376/
7.8,Карнавальная ночь,"мюзикл, комедия","1956, СССР",https://www.kinoafisha.info/movies/7731582/
7.8,Неподдающиеся,комедия,"1959, СССР",https://www.kinoafisha.info/movies/7852636/
7.8,Омерзительная восьмерка,"комедия, вестерн, триллер","2015, США",https://www.kinoafisha.info/movies/8167215/
7.8,Университет монстров,"комедия, семейный, фэнтези, приключения, анимация","2013, США",https://www.kinoafisha.info/movies/8133574/
7.8,Главный герой,"фантастика, боевик, комедия, приключения","2021, США",https://www.kinoafisha.info/movies/8356294/
7.8,Вперёд,"анимация, семейный, приключения, комедия, фэнтези","2019, США",https://www.kinoafisha.info/movies/8355472/
7.8,Пилигрим,"комедия, вестерн","1923, США",https://www.kinoafisha.info/movies/8372473/
7.7,Кунг-Фу Панда 2,"комедия, анимация","2011, США",https://www.kinoafisha.info/movies/8119257/
7.7,Верные друзья,"комедия, мелодрама","1954, СССР",https://www.kinoafisha.info/movies/8328005/
7.7,Дружок,"комедия, семейный","1958, СССР",https://www.kinoafisha.info/movies/8328799/
7.7,Мегамозг,"комедия, семейный, анимация","2010, США",https://www.kinoafisha.info/movies/8102606/
7.7,Идеальные незнакомцы,"драма, комедия","2016, Италия",https://www.kinoafisha.info/movies/8328292/
7.7,Дикие истории,"драма, комедия, триллер","2014, Аргентина / Испания",https://www.kinoafisha.info/movies/8168237/
7.7,Трио из Бельвилля,"комедия, анимация","2003, Франция / Бельгия / Канада / Великобритания / Латвия",https://www.kinoafisha.info/movies/5426/
7.7,Сабрина,"комедия, мелодрама","1954, США",https://www.kinoafisha.info/movies/3603671/
7.7,Третья Мещанская,"драма, комедия","1924, СССР",https://www.kinoafisha.info/movies/7793215/
7.7,Ла-Ла Ленд,"мюзикл, драма, мелодрама, комедия","2016, США",https://www.kinoafisha.info/movies/8327311/
7.7,Почти Холостяк,комедия,"2023, Латвия",https://www.kinoafisha.info/movies/8374285/
