Rating,Name,Genres,Year/Country,URL
9.4,Атака титанов: Последняя атака,"боевик, анимация, драма","2024, Япония",https://www.kinoafisha.info/movies/8379856/
9.1,Побег из Шоушенка,"драма, триллер","1994, США",https://www.kinoafisha.info/movies/7731571/
8.9,Зеленая миля,драма,"1999, США",https://www.kinoafisha.info/movies/4982409/
8.8,Крестный отец,"драма, триллер","1972, США",https://www.kinoafisha.info/movies/3974172/
8.7,Дюна: Часть вторая,"фантастика, боевик, приключения, драма","2024, США / Канада",https://www.kinoafisha.info/movies/8365616/
8.7,Темный рыцарь,"драма, мистика, триллер, боевик","2008, США",https://www.kinoafisha.info/movies/3229744/
8.7,Форрест Гамп,"комедия, мелодрама, драма","1994, США",https://www.kinoafisha.info/movies/4162346/
8.7,1+1,"комедия, драма, биография","2011, Франция",https://www.kinoafisha.info/movies/8133315/
8.7,Властелин Колец: Две крепости,"приключения, фэнтези, драма","2002, США / Новая Зеландия / Германия",https://www.kinoafisha.info/movies/5227/
8.7,Король Лев,"мюзикл, приключения, драма, семейный, комедия, анимация","1994, США",https://www.kinoafisha.info/movies/4620118/
8.7,Криминальное чтиво,драма,"1994, США",https://www.kinoafisha.info/movies/4366576/
8.6,Оппенгеймер,"биография, драма, исторический","2023, США",https://www.kinoafisha.info/movies/8365507/
8.6,Бойцовский клуб,"триллер, боевик, драма","1999, США / Германия",https://www.kinoafisha.info/movies/3963633/
8.6,Леон,"драма, триллер, криминал","1994, Франция",https://www.kinoafisha.info/movies/3443444/
8.6,Список Шиндлера,"исторический, военный, драма, биография","1993, США",https://www.kinoafisha.info/movies/3725038/
8.6,Гладиатор,"приключения, драма, боевик","2000, Великобритания / США",https://www.kinoafisha.info/movies/3577687/
8.6,Крестный отец 2,"триллер, драма","1974, США",https://www.kinoafisha.info/movies/4158964/
8.5,Хатико: самый верный друг,"семейный, драма","2009, США",https://www.kinoafisha.info/movies/7719764/
8.5,Рай под ногами матерей,драма,"2024, Кыргызстан",https://www.kinoafisha.info/movies/8374776/
8.5,ВОЛЕЙБОЛ!! Битва на мусорной свалке,"анимация, комедия, драма, аниме","2024, Япония",https://www.kinoafisha.info/movies/8375798/
8.5,Храброе сердце,"военный, биография, боевик, драма","1995, США",https://www.kinoafisha.info/movies/5413263/
8.5,М убийца,"нуар, криминал, драма, триллер","1931, Германия",https://www.kinoafisha.info/movies/8146960/
8.5,Паралимпиец,"биография, спорт, драма","2022, Казахстан",https://www.kinoafisha.info/movies/8367383/
8.5,FORD против FERRARI,"биография, драма, спорт","2019, США",https://www.kinoafisha.info/movies/8354457/
8.4,Оглянись,"анимация, драма","2024, Япония",https://www.kinoafisha.info/movies/8379307/
8.4,Великий диктатор,"драма, военный, комедия","1940, США",https://www.kinoafisha.info/movies/7205349/
8.4,Зеленая книга,драма,"2018, США",https://www.kinoafisha.info/movies/8355131/
8.4,Игры разума,"мистика, драма, биография","2001, США",https://www.kinoafisha.info/movies/4108153/
8.4,Темный рыцарь: Возрождение легенды,"драма, триллер, боевик","2012, США / Великобритания",https://www.kinoafisha.info/movies/8094803/
8.4,Огни большого города,"драма, комедия","1931, США",https://www.kinoafisha.info/movies/3761153/
8.4,Приключения Шерлока Холмса и доктора Ватсона: Охота на тигра,"криминал, драма, мистика","1980, СССР",https://www.kinoafisha.info/movies/8363334/
8.4,Престиж,"сказка, триллер, фантастика, драма","2006, США / Великобритания",https://www.kinoafisha.info/movies/1068657/
8.3,Изгой,"приключения, драма","2000, США",https://www.kinoafisha.info/movies/4983627/
8.3,Остров проклятых,"драма, мистика, триллер","2009, США",https://www.kinoafisha.info/movies/5280353/
8.3,Отступники,"криминал, драма, триллер","2006, США",https://www.kinoafisha.info/movies/923488/
8.3,Осенняя соната,"мюзикл, драма","1978, Швеция / Франция / Германия",https://www.kinoafisha.info/movies/1068690/
8.3,А зори здесь тихие,"исторический, драма, военный","1972, СССР",https://www.kinoafisha.info/movies/7714889/
8.3,Титаник,"мелодрама, драма, приключения","1997, США",https://www.kinoafisha.info/movies/3577360/
8.3,Долгая дорога домой,"триллер, драма, мистика","2017, Россия",https://www.kinoafisha.info/movies/8356951/
8.3,Сокровища Сьерра Мадре,"драма, боевик, приключения, вестерн","1948, США",https://www.kinoafisha.info/movies/8092576/
8.3,Мистер Смит едет в Вашингтон,драма,"1939, США",https://www.kinoafisha.info/movies/8089080/
